# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
-44.084,42.853,5,5,-1.5707963267948966
-44.084,40.853,5,5,-1.5707963267948966
-44.084,38.853,5,5,-1.5707963267948966
-44.084,36.853,5,5,-1.5707963267948966
-44.084,34.853,5,5,-1.5707963267948966
-44.084,32.853,5,5,-1.5707963267948966
-44.084,30.853,5,5,-1.5707963267948966
-44.084,28.853,5,5,-1.5707963267948966
-44.084,26.853,5,5,-1.5707963267948966
-44.084,24.853,5,5,-1.5707963267948966
-44.084,22.853,5,5,-1.5707963267948966
-44.084,20.853,5,5,-1.5707963267948966
-44.084,18.853,5,5,-1.5707963267948966
-44.084,16.853,5,5,-1.5707963267948966
-44.084,14.853,5,5,-1.5707963267948966
-44.084,12.853,5,5,-1.5707963267948966
-44.084,10.853,5,5,-1.5707963267948966
-44.084,8.8529,5,5,-1.5707963267948966
-44.084,6.8529,5,5,-1.5707963267948966
-44.084,4.8529,5,5,-1.5707963267948966
-44.084,2.8529,5,5,-1.5707963267948966
-44.084,0.8529,5,5,-1.521154472764349
-44.022,-0.39502,5,5,-1.420578354513623
-43.835,-1.6305,5,5,-1.3208870051745756
-43.526,-2.8411,5,5,-1.2211226173895897
-43.098,-4.0148,5,5,-1.120425441036875
-42.554,-5.1399,5,5,-1.0208506905324775
-41.901,-6.2051,5,5,-0.9209080345780618
-41.145,-7.1998,5,5,-0.8206004649987699
-40.293,-8.114,5,5,-0.7212100687892373
-39.355,-8.9387,5,5,-0.620491278966114
-38.338,-9.6655,5,5,-0.5205854620712866
-37.254,-10.287,5,5,-0.421394019874233
-36.114,-10.798,5,5,-0.32073840899328143
-34.928,-11.192,5,5,-0.22031867955138154
-33.709,-11.465,5,5,-0.12117756506521596
-32.469,-11.616,5,5,0.0
-30.469,-11.616,5,5,0.0
-28.469,-11.616,5,5,0.0
-26.469,-11.616,5,5,0.0
-24.469,-11.616,5,5,0.0
-22.469,-11.616,5,5,0.0
-20.469,-11.616,5,5,0.0
-18.469,-11.616,5,5,0.0
-16.469,-11.616,5,5,0.0
-14.469,-11.616,5,5,0.0
-12.469,-11.616,5,5,0.05043795449107799
-11.221,-11.553,5,5,0.14940039390894375
-9.9853,-11.367,5,5,0.25068467991996196
-8.7747,-11.057,5,5,0.3496737094053045
-7.601,-10.629,5,5,0.4496502416823269
-6.4759,-10.086,5,5,0.5502867433270067
-5.4107,-9.4325,5,5,0.650015726750464
-4.416,-8.6763,5,5,0.7499656602863222
-3.5017,-7.8246,5,5,0.8500162927524417
-2.6771,-6.8859,5,5,0.9499792987027671
-1.9503,-5.8696,5,5,1.0500322034184482
-1.3286,-4.7857,5,5,1.1499714764712332
-0.8182,-3.6453,5,5,1.2500150512597614
-0.42421,-2.4595,5,5,1.3499952879434274
-0.15057,-1.2404,5,5,
